player,player_id,amount,length,year,team,pos
Alex Rodriguez,rodrial01,"$275,000,000.00 ",10.0,2007.0,NYY,h
Derek Jeter,jeterde01,"$189,000,000.00 ",10.0,2001.0,NYY,h
Manny Ramirez,ramirma02,"$160,000,000.00 ",8.0,2000.0,BOS,h
Albert Pujols,pujolal01,"$240,000,000.00 ",10.0,2011.0,LAA,h
Clayton Kershaw,kershcl01,"$215,000,000.00 ",7.0,2014.0,LAD,p
Prince Fielder,fieldpr01,"$214,000,000.00 ",9.0,2012.0,DET,h
Mark Teixeira,teixema01,"$180,000,000.00 ",8.0,2008.0,NYY,h
Dave Winfield,winfida01,$0.00 ,,,
David Price,priceda01,"$217,000,000.00 ",7.0,2015.0,BOS,p
Joe Mauer,mauerjo01,"$184,000,000.00 ",8.0,2010.0,MIN,h
Kevin Brown,brownke01,"$105,000,000.00 ",7.0,1998.0,LAD,p
Robinson Cano,canoro01,"$240,000,000.00 ",10.0,2013.0,SEA,h
Zack Greinke,greinza01,"$206,500,000.00 ",6.0,2015.0,ARI,p
Catfish Hunter,hunteca01,$0.00 ,,,
Max Scherzer,scherma01,"$210,000,000.00 ",7.0,2015.0,WAS,p
Mike Hampton,hamptmi01,"$121,000,000.00 ",8.0,2000.0,COL,p
Felix Hernandez,hernafe02,"$175,000,000.00 ",7.0,2013.0,SEA,p
Alfonso Soriano,soriaal01,"$136,000,000.00 ",8.0,2006.0,CHC,h
Jason Heyward,heywaja01,"$184,000,000.00 ",8.0,2015.0,CHC,h
Mike Piazza,piazzmi01,"$91,000,000.00 ",7.0,1998.0,NYM,h
Chipper Jones,jonesch06,"$90,000,000.00 ",6.0,2000.0,ATL,h
Johan Santana,santajo01,"$137,500,000.00 ",6.0,2008.0,NYM,p
Carlos Beltran,beltrca01,"$119,000,000.00 ",7.0,2005.0,NYM,h
Ken Griffey Jr,griffke02,"$116,500,000.00 ",9.0,2000.0,CIN,h
Bernie Williams,,$0.00 ,,,
Adrian Gonzalez,gonzaad01,"$154,000,000.00 ",7.0,2011.0,BOS,h
Barry Zito,zitoba01,"$18,000,000.00 ",1.0,2013.0,SF,p
Barry Bonds,bondsba01,"$90,000,000.00 ",5.0,2002.0,SF,h
Masahiro Tanaka,tanakma01,"$155,000,000.00 ",7.0,2014.0,NYY,h
Chris Davis,davisch02,"$161,000,000.00 ",7.0,2016.0,BAL,h
Mo Vaughn,vaughmo01,$0.00 ,,,
Jacoby Ellsbury,ellsbja01,"$153,000,000.00 ",7.0,2013.0,NYY,h
Carl Crawford,crawfca02,"$142,000,000.00 ",7.0,2010.0,BOS,h
Mike Mussina,mussimi01,"$88,500,000.00 ",6.0,2000.0,NYY,p
Jon Lester,lestejo01,"$155,000,000.00 ",6.0,2014.0,CHC,p
Jim Thome,thomeji01,"$85,000,000.00 ",6.0,2002.0,PHI,h
Vernon Wells,wellsve01,"$126,000,000.00 ",7.0,2006.0,TOR,h
Mike Schmidt,schmimi01,$0.00 ,,,
Pedro Martinez,martipe02,"$75,000,000.00 ",6.0,1997.0,BOS,p
Matt Holliday,hollima01,"$120,000,000.00 ",7.0,2010.0,STL,h
David Wright,wrighda03,"$138,000,000.00 ",8.0,2012.0,NYM,h
Cliff Lee,leecl02,"$120,000,000.00 ",5.0,2010.0,PHI,p
Ryan Howard,howarry01,"$125,000,000.00 ",5.0,2010.0,PHI,h
Eric Hosmer,hosmeer01,"$39,000,000.00 ",3.0,2022.0,BOS,h
Carlos Lee,leeca01,$0.00 ,,,
Jayson Werth,werthja01,"$126,000,000.00 ",7.0,2010.0,WAS,h
Justin Verlander,verlaju01,"$180,000,000.00 ",7.0,2013.0,DET,p
CC Sabathia,sabatcc01,"$161,000,000.00 ",7.0,2008.0,NYY,p
Magglio Ordonez,ordonma01,"$10,000,000.00 ",1.0,2010.0,DET,h
Cecil Fielder,fieldce01,$0.00 ,,,
Greg Maddux,maddugr01,"$57,500,000.00 ",5.0,1997.0,ATL,p
